clip_id,display_name,hash,timecode_start,timecode_end,userpath
3,KT8080-5.WA05.58E758E7464EA; KT8080-6.WA06.58E758E7464EA; 403 / 1  /n 1   ,2:3a585d7c1c62cb267b759e914ad91740; 2:1bb5ad5e3ccb811e5a5c1f26dc0bb00f,00:00:00:00:100/1,00:00:07:88:100/1,Avid MediaFiles/MXF/AVID2.1 20170405/KT8080-5.WA05.58E758E7464EA.mxf; Avid MediaFiles/MXF/AVID2.1 20170405/KT8080-6.WA06.58E758E7464EA.mxf
4,KT8081-5.WA05.58E758E7464FA; KT8081-6.WA06.58E758E7464FA; 403 / 1  /t 1   ,2:312e59e3337f622648bf85431dbb8120; 2:04f2e6a6f70c294544fbbe642356f052,00:00:00:00:100/1,00:01:32:00:100/1,Avid MediaFiles/MXF/AVID2.1 20170405/KT8081-5.WA05.58E758E7464FA.mxf; Avid MediaFiles/MXF/AVID2.1 20170405/KT8081-6.WA06.58E758E7464FA.mxf
5,KT8082-5.WA05.58E758E74651A; KT8082-6.WA06.58E758E74651A; 403 / 1  /t 2   ,2:ee3f10b017a947685d07b173dc1109f4; 2:fbe6c466a8f2e37158efb685093ccbc1,00:00:00:00:100/1,00:01:37:20:100/1,Avid MediaFiles/MXF/AVID2.1 20170405/KT8082-5.WA05.58E758E74651A.mxf; Avid MediaFiles/MXF/AVID2.1 20170405/KT8082-6.WA06.58E758E74651A.mxf
6,KT8081_1.WA01.58E758E74650A; KT8081_2.WA02.58E758E74650A; KT8081_3.WA03.58E758E74650A; KT8081_7.WA07.58E758E74650A; KT8081_8.WA08.58E758E74650A; 403 / 1  /t 1   ,2:5e0d032d74f442c9881066134387f08d; 2:56a30d2f536d7c2c84b2658b91a3f31d; 2:4a867ce48367608892c74d35a3ee24a7; 2:85b5b61c5fc8fac5017a1b97b7632a92; 2:9ed54290f93b9bf76ab6806d1203cce0,00:00:00:00:100/1,00:01:32:00:100/1,Avid MediaFiles/MXF/AVID2.1 20170405/KT8081_1.WA01.58E758E74650A.mxf; Avid MediaFiles/MXF/AVID2.1 20170405/KT8081_2.WA02.58E758E74650A.mxf; Avid MediaFiles/MXF/AVID2.1 20170405/KT8081_3.WA03.58E758E74650A.mxf; Avid MediaFiles/MXF/AVID2.1 20170405/KT8081_7.WA07.58E758E74650A.mxf; Avid MediaFiles/MXF/AVID2.1 20170405/KT8081_8.WA08.58E758E74650A.mxf
7,KT8080_1.WA01.58E758E7464EA; KT8080_2.WA02.58E758E7464EA; KT8080_7.WA07.58E758E7464EA; KT8080_8.WA08.58E758E7464EA; 403 / 1  /n 1   ,2:18418d2d8f8becf787e00f35660602dc; 2:05a1ad469be56f6d6338dd12d58cff32; 2:75b5b28c90ef2c143e7b64b45205e937; 2:86311f010a0f81302d779dfc1a94e301,00:00:00:00:100/1,00:00:07:88:100/1,Avid MediaFiles/MXF/AVID2.1 20170405/KT8080_1.WA01.58E758E7464EA.mxf; Avid MediaFiles/MXF/AVID2.1 20170405/KT8080_2.WA02.58E758E7464EA.mxf; Avid MediaFiles/MXF/AVID2.1 20170405/KT8080_7.WA07.58E758E7464EA.mxf; Avid MediaFiles/MXF/AVID2.1 20170405/KT8080_8.WA08.58E758E7464EA.mxf
8,KT8082_1.WA01.58E758E74652A; KT8082_2.WA02.58E758E74652A; KT8082_3.WA03.58E758E74652A; KT8082_7.WA07.58E758E74652A; KT8082_8.WA08.58E758E74652A; 403 / 1  /t 2   ,2:218ea2f50fd0f82c3933b889cb608d80; 2:32526645bed30d7bf2bb1a00e9a6f4ef; 2:c5d522996df99d9559c9c8902ad37c61; 2:dab64d0b8e5d3bbbbf9358c081559fda; 2:9f88161c3eea52f7be84a1365bd8be6d,00:00:00:00:100/1,00:01:37:20:100/1,Avid MediaFiles/MXF/AVID2.1 20170405/KT8082_1.WA01.58E758E74652A.mxf; Avid MediaFiles/MXF/AVID2.1 20170405/KT8082_2.WA02.58E758E74652A.mxf; Avid MediaFiles/MXF/AVID2.1 20170405/KT8082_3.WA03.58E758E74652A.mxf; Avid MediaFiles/MXF/AVID2.1 20170405/KT8082_7.WA07.58E758E74652A.mxf; Avid MediaFiles/MXF/AVID2.1 20170405/KT8082_8.WA08.58E758E74652A.mxf
9,KT8083-5.WA05.58E758E74654A; KT8083-6.WA06.58E758E74654A; 403 / 1  /t 3   ,2:bd7c2323881bb4c255e2d586389ea171; 2:b97b0b2ae5c1ecdd5318207bb6f6d103,00:00:00:00:100/1,00:00:29:72:100/1,Avid MediaFiles/MXF/AVID2.1 20170405/KT8083-5.WA05.58E758E74654A.mxf; Avid MediaFiles/MXF/AVID2.1 20170405/KT8083-6.WA06.58E758E74654A.mxf
10,KT8083_1.WA01.58E758E74655A; KT8083_2.WA02.58E758E74655A; KT8083_3.WA03.58E758E74655A; KT8083_7.WA07.58E758E74655A; KT8083_8.WA08.58E758E74655A; 403 / 1  /t 3   ,2:c96e363cc84985fa21cf35b0bdd5900a; 2:32cf1b3382fe3445bc0e86c66df38ebe; 2:767508f522b3727db8bc4f696ab139d1; 2:d0152221d5108ab297e6289e4ea10225; 2:1fe0df3ffb137844f218458fe1ca07d5,00:00:00:00:100/1,00:00:29:72:100/1,Avid MediaFiles/MXF/AVID2.1 20170405/KT8083_1.WA01.58E758E74655A.mxf; Avid MediaFiles/MXF/AVID2.1 20170405/KT8083_2.WA02.58E758E74655A.mxf; Avid MediaFiles/MXF/AVID2.1 20170405/KT8083_3.WA03.58E758E74655A.mxf; Avid MediaFiles/MXF/AVID2.1 20170405/KT8083_7.WA07.58E758E74655A.mxf; Avid MediaFiles/MXF/AVID2.1 20170405/KT8083_8.WA08.58E758E74655A.mxf
11,KT8084-5.WA05.58E758E74656A; KT8084-6.WA06.58E758E74656A; 403 / 1  /t 4   ,2:d4f4216243cffeafd4a49500af8192fa; 2:05318167248e900d9d489a7a671c99b2,00:00:00:00:100/1,00:01:40:52:100/1,Avid MediaFiles/MXF/AVID2.1 20170405/KT8084-5.WA05.58E758E74656A.mxf; Avid MediaFiles/MXF/AVID2.1 20170405/KT8084-6.WA06.58E758E74656A.mxf
12,KT8084_1.WA01.58E758E74657A; KT8084_2.WA02.58E758E74657A; KT8084_3.WA03.58E758E74657A; KT8084_7.WA07.58E758E74657A; KT8084_8.WA08.58E758E74657A; 403 / 1  /t 4   ,2:3ac8457b771227f2afae83cfa59ac129; 2:ee153aaa6fcf37888edc818f303c4995; 2:341b7a5866e87fb66de5fcbc21abbb49; 2:35296425d73b13b6b5a126ad52bbfa0b; 2:0e5c697f1a98afc7cbf829f1d4f8e0d2,00:00:00:00:100/1,00:01:40:52:100/1,Avid MediaFiles/MXF/AVID2.1 20170405/KT8084_1.WA01.58E758E74657A.mxf; Avid MediaFiles/MXF/AVID2.1 20170405/KT8084_2.WA02.58E758E74657A.mxf; Avid MediaFiles/MXF/AVID2.1 20170405/KT8084_3.WA03.58E758E74657A.mxf; Avid MediaFiles/MXF/AVID2.1 20170405/KT8084_7.WA07.58E758E74657A.mxf; Avid MediaFiles/MXF/AVID2.1 20170405/KT8084_8.WA08.58E758E74657A.mxf
