clip_ID,Names,Hashes,TC_start,TC_end,Path,total_duration_hours
7652,"['28 - Bemidji_ M580143EB.1', '28 - Bemidji_ MN (F580143EB', '28 - Bemidji, MN (Fargo Series Main Theme).mp3']","['2:97e31717b9ebae685e1d56a87d431251', '2:9d97ffd8038d86c98b9dc000644d6195']",00:00:00:00:100/1,00:02:27:24:100/1,"['Avid MediaFiles/MXF/AVID4.0002Musictemp/28 - Bemidji_ M580143EB.1.mxf', 'Avid MediaFiles/MXF/AVID4.0002Musictemp/28 - Bemidji_ MN (F580143EB.mxf']",
7653,"['28 - Bemidji_ M580143EB.1', '28 - Bemidji_ MN (F580143EB', '28 - Bemidji, MN (Fargo Series Main Theme).mp3']","['2:97e31717b9ebae685e1d56a87d431251', '2:9d97ffd8038d86c98b9dc000644d6195']",00:00:00:00:100/1,00:02:27:24:100/1,"['Avid MediaFiles/MXF/AVID4.0002Musictemp/28 - Bemidji_ M580143EB.1.mxf', 'Avid MediaFiles/MXF/AVID4.0002Musictemp/28 - Bemidji_ MN (F580143EB.mxf']",
17210,DJI_0009,2:7f7a234ca2a99e344ff23804ec021d18,00:00:00:00:25/1,00:02:41:19:25/1,UHD Mixdown CC/Making of richtiges Anfangsbild/DJI_0009.MOV,
18296,"['DJI_0008.new.02_(-25.00_FPS),FrameFlex,1', 'DJI_0008.new.02_(-25954DCBB']",2:6105361afacfce03c0ed77a7d18621ed,00:00:00:00:25/1,00:00:14:20:25/1,Avid MediaFiles/MXF/ADMIN-HP.1/DJI_0008.new.02_(-25954DCBB.mxf,
18298,"['DJI_0008.new.02_(-25.00_FPS),FrameFlex,3', 'DJI_0008.new.02_(-25954DD22']",2:a6f0b8b46117ed1afb0fbb0fec023ae7,00:00:00:00:25/1,00:00:12:19:25/1,Avid MediaFiles/MXF/ADMIN-HP.1/DJI_0008.new.02_(-25954DD22.mxf,
20315,"['DJI_0028.MOV', 'DJI_0028.MOV.V159819105']",2:d15c2f989eb7fc88cabce80d59079c40,10:00:00:00:25/1,10:01:36:05:25/1,Avid MediaFiles/MXF/ADMIN-HP.1/DJI_0028.MOV.V159819105.mxf,
28391,CamsHonerDrone E No2,2:8cf3c0e94705199f6cc8e2422c02cd2b,00:00:00:00:100/1,00:00:02:72:100/1,"['SoftwareSampler/Bank 1/WST44FGrand/Rhodes Piano Multi/Bank 1/WST44FGrand/Bauernhof/Bank 7/Chorus&Drone/CamsHonerDrone E No2.wav', 'LOOKS Ton Backup Editshare Projekte/SoftwareSampler/Bank 1/WST44FGrand/Rhodes Piano Multi/Bank 1/WST44FGrand/Bauernhof/Bank 7/Chorus&Drone/CamsHonerDrone E No2.wav', 'ALLGEMEINES/SoftwareSampler/Bank 1/WST44FGrand/Rhodes Piano Multi/Bank 1/WST44FGrand/Bauernhof/Bank 7/Chorus&Drone/CamsHonerDrone E No2.wav']",
28619,81VoiceDronesSpiritVoi,2:e0b4ca52e97ac436ca48a3cee632c906,00:00:00:00:100/1,00:00:49:89:100/1,"['SOUND ARCHIV/Drone Archeology/81VoiceDronesSpiritVoi.aif', 'LOOKS Ton Backup Editshare Projekte/SOUND ARCHIV/Drone Archeology/81VoiceDronesSpiritVoi.aif', 'ALLGEMEINES/SOUND ARCHIV/Drone Archeology/81VoiceDronesSpiritVoi.aif']",
28675,Opening Theme REV 2 DOTGW Drones,2:e386fd9c1314c2ed4a3108ee392fea78,00:00:00:00:100/1,00:01:25:00:100/1,"['LOOKS MUSIK FUER SCHNITTPLAETZE/MUSIK LOOKS/LOW REZ/LOOKS MUSIK FUER SCHNITTPLAETZE MP3/Equiem, Laurent/14 - TAGEBUECHER DES ERSTEN WELTKRIEGS (GEMA 15133490-001)/HIGH REZ FILES/DO NOT USE/Opening Theme Rev 2 DOTGW.OLDOLDOLD/Opening Theme REV 2 Stems/Opening Theme REV 2 DOTGW Drones.mp3', 'S2F_Hist_Trash/Equiem, Laurent 1/14 - TAGEBUECHER DES ERSTEN WELTKRIEGS (GEMA 15133490-001)/HIGH REZ FILES/DO NOT USE/Opening Theme Rev 2 DOTGW.OLDOLDOLD/Opening Theme REV 2 Stems/Opening Theme REV 2 DOTGW Drones.mp3']",
28807,"87 Drone, Sci Fi",2:9d3a0d4e0eefbe30d522649a5089ca43,00:00:00:00:100/1,00:01:36:61:100/1,"['SOUND ARCHIV/The Dark Side Of Sound/The Dark Side Of Sound/87 Drone, Sci Fi.aif', 'ALLGEMEINES/SOUND ARCHIV/The Dark Side Of Sound/The Dark Side Of Sound/87 Drone, Sci Fi.aif', 'LOOKS Ton Backup Editshare Projekte/SOUND ARCHIV/The Dark Side Of Sound/The Dark Side Of Sound/87 Drone, Sci Fi.aif']",
28919,"86 Drone, Sci Fi",2:e118fb30cb1eeb32d56856b7fdd45286,00:00:00:00:100/1,00:00:26:79:100/1,"['SOUND ARCHIV/The Dark Side Of Sound/The Dark Side Of Sound/86 Drone, Sci Fi.aif', 'ALLGEMEINES/SOUND ARCHIV/The Dark Side Of Sound/The Dark Side Of Sound/86 Drone, Sci Fi.aif', 'LOOKS Ton Backup Editshare Projekte/SOUND ARCHIV/The Dark Side Of Sound/The Dark Side Of Sound/86 Drone, Sci Fi.aif']",
29731,"90 Drone, Sci Fi",2:739dc23ddf11a32eb834e53fa894ca9e,00:00:00:00:100/1,00:00:30:43:100/1,"['SOUND ARCHIV/The Dark Side Of Sound/The Dark Side Of Sound/90 Drone, Sci Fi.aif', 'ALLGEMEINES/SOUND ARCHIV/The Dark Side Of Sound/The Dark Side Of Sound/90 Drone, Sci Fi.aif', 'LOOKS Ton Backup Editshare Projekte/SOUND ARCHIV/The Dark Side Of Sound/The Dark Side Of Sound/90 Drone, Sci Fi.aif']",
