clip_ID,Names,Hashes,TC_start,TC_end,Path,total_duration_hours
7652,"['28 - Bemidji_ M580143EB.1', '28 - Bemidji_ MN (F580143EB', '28 - Bemidji, MN (Fargo Series Main Theme).mp3']","['2:97e31717b9ebae685e1d56a87d431251', '2:9d97ffd8038d86c98b9dc000644d6195']",00:00:00:00:100/1,00:02:27:24:100/1,"['Avid MediaFiles/MXF/AVID4.0002Musictemp/28 - Bemidji_ M580143EB.1.mxf', 'Avid MediaFiles/MXF/AVID4.0002Musictemp/28 - Bemidji_ MN (F580143EB.mxf']",
7653,"['28 - Bemidji_ M580143EB.1', '28 - Bemidji_ MN (F580143EB', '28 - Bemidji, MN (Fargo Series Main Theme).mp3']","['2:97e31717b9ebae685e1d56a87d431251', '2:9d97ffd8038d86c98b9dc000644d6195']",00:00:00:00:100/1,00:02:27:24:100/1,"['Avid MediaFiles/MXF/AVID4.0002Musictemp/28 - Bemidji_ M580143EB.1.mxf', 'Avid MediaFiles/MXF/AVID4.0002Musictemp/28 - Bemidji_ MN (F580143EB.mxf']",
17210,DJI_0009,2:7f7a234ca2a99e344ff23804ec021d18,00:00:00:00:25/1,00:02:41:19:25/1,UHD Mixdown CC/Making of richtiges Anfangsbild/DJI_0009.MOV,
18296,"['DJI_0008.new.02_(-25.00_FPS),FrameFlex,1', 'DJI_0008.new.02_(-25954DCBB']",2:6105361afacfce03c0ed77a7d18621ed,00:00:00:00:25/1,00:00:14:20:25/1,Avid MediaFiles/MXF/ADMIN-HP.1/DJI_0008.new.02_(-25954DCBB.mxf,
18298,"['DJI_0008.new.02_(-25.00_FPS),FrameFlex,3', 'DJI_0008.new.02_(-25954DD22']",2:a6f0b8b46117ed1afb0fbb0fec023ae7,00:00:00:00:25/1,00:00:12:19:25/1,Avid MediaFiles/MXF/ADMIN-HP.1/DJI_0008.new.02_(-25954DD22.mxf,
20315,"['DJI_0028.MOV', 'DJI_0028.MOV.V159819105']",2:d15c2f989eb7fc88cabce80d59079c40,10:00:00:00:25/1,10:01:36:05:25/1,Avid MediaFiles/MXF/ADMIN-HP.1/DJI_0028.MOV.V159819105.mxf,
239894,"['DJI_0015A01.595E162595E1613', 'DJI_0015.new.01']",2:fd1acc60be4b8de27729128ca52ce96d,00:00:00:00:100/1,00:00:23:76:100/1,Protools IN/AL SHAQAB/Alt/AAF_Consolidated/Avid MediaFiles/MXF/1/DJI_0015A01.595E162595E1613.mxf,
239968,"['DJI_0120A01.595E168595E1627', 'DJI_0120.new.01']",2:9c2438c5e76f777a8318e5dfa3160a65,00:00:00:00:100/1,00:00:24:08:100/1,Protools IN/AL SHAQAB/Alt/AAF_Consolidated/Avid MediaFiles/MXF/1/DJI_0120A01.595E168595E1627.mxf,
240456,"['DJI_0109A01.595E188595E168A', 'DJI_0109.new.01']",2:78f505fff801b7169070ddcfbb370581,00:00:00:00:100/1,00:00:27:60:100/1,Protools IN/AL SHAQAB/Alt/AAF_Consolidated/Avid MediaFiles/MXF/1/DJI_0109A01.595E188595E168A.mxf,
240536,"['DJI_0109A01.595E18D595E1693', 'DJI_0109.new.01']",2:bc7f1cda6f9ad30d4fe32749d5d451a6,00:00:00:00:100/1,00:00:22:32:100/1,Protools IN/AL SHAQAB/Alt/AAF_Consolidated/Avid MediaFiles/MXF/1/DJI_0109A01.595E18D595E1693.mxf,
240653,"['DJI_0014A01.595E194595E169E', 'DJI_0014.new.01']",2:875089df42d843a6b2f4b6c9afce0a1a,00:00:00:00:100/1,00:00:38:00:100/1,Protools IN/AL SHAQAB/Alt/AAF_Consolidated/Avid MediaFiles/MXF/1/DJI_0014A01.595E194595E169E.mxf,
240695,"['DJI_0015A01.5981F105981F0EA', 'DJI_0015.new.01']",2:75e2d3dcd6da36af6e37b4d109df51cf,00:00:00:00:100/1,00:00:47:76:100/1,Protools IN/AL SHAQAB/Alt/AAF/AAF_V04/Avid MediaFiles/MXF/1/DJI_0015A01.5981F105981F0EA.mxf,
240766,"['DJI_0120A01.5981F155981F0F7', 'DJI_0120.new.01']",2:152182c8b33c05ca3ccdfc58e16b09c2,00:00:00:00:100/1,00:00:40:24:100/1,Protools IN/AL SHAQAB/Alt/AAF/AAF_V04/Avid MediaFiles/MXF/1/DJI_0120A01.5981F155981F0F7.mxf,
240882,"['DJI_0109A01.5981F1D5981F115', 'DJI_0109.new.01']",2:50518acdf5e762478f9c3572dcd548b5,00:00:00:00:100/1,00:00:51:60:100/1,Protools IN/AL SHAQAB/Alt/AAF/AAF_V04/Avid MediaFiles/MXF/1/DJI_0109A01.5981F1D5981F115.mxf,
240963,"['DJI_0109A01.5981F235981F127', 'DJI_0109.new.01']",2:2f40641a2c45d45e88650d766464f564,00:00:00:00:100/1,00:00:34:32:100/1,Protools IN/AL SHAQAB/Alt/AAF/AAF_V04/Avid MediaFiles/MXF/1/DJI_0109A01.5981F235981F127.mxf,
241013,"['DJI_0014A01.5981F265981F12F', 'DJI_0014.new.01']",2:9ef95114b5447abab88e486efe5b2986,00:00:00:00:100/1,00:00:58:32:100/1,Protools IN/AL SHAQAB/Alt/AAF/AAF_V04/Avid MediaFiles/MXF/1/DJI_0014A01.5981F265981F12F.mxf,
256272,Colonia_2018_11_04_12C_Team A_Santiago_Armenviertel_Tag24_Drohne_SD01,2:5dc4d4fabe4afbfb6f3d02cb791074e9,01:00:00:00:25/1,01:23:45:05:25/1,+ EXPORTE/DROHNEN/vimeo/Colonia_2018_11_04_12C_Team A_Santiago_Armenviertel_Tag24_Drohne_SD01.MOV,
256469,Colonia_2018_11_05_12C_Team A_Santiago_Allgemein_Tag25_Drohne_SD01,2:0d83b060a143a805ecba1aa3e85398f3,01:00:00:00:25/1,02:23:27:17:25/1,+ EXPORTE/DROHNEN/vimeo/Colonia_2018_11_05_12C_Team A_Santiago_Allgemein_Tag25_Drohne_SD01.mov,
